filename,target_metal_basis,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
BAHGUN03_clean,Cu,4.25449,3.25933,4.23074,1.50254,0.0,0.0,321.562,214.012,0.4192,0.278993,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAHGUN04_clean,Cu,4.27373,3.28764,4.25925,1.48559,0.0,0.0,336.973,226.827,0.424,0.285408,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAHGUN_clean,Cu,4.27624,3.25563,4.26728,1.49375,0.0,0.0,335.921,224.883,0.429,0.287196,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAKFAV_clean,Zn,5.07804,3.13825,4.96712,1.79842,0.0,0.0,881.921,490.386,0.5434,0.302154,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAMKIM_clean,Cu,6.79615,5.75134,6.79615,1.10764,1482.92,1338.8,0.0,0.0,0.5666,0.511536,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAMKOS_clean,Cu,6.76349,5.81846,6.76349,1.11335,1511.81,1357.89,0.0,0.0,0.5736,0.515203,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAMMOU_clean,Cu,11.01739,9.30306,11.01739,1.02953,1415.07,1374.48,10.5183,10.2166,0.6562,0.63738,0.0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BAMMUA_clean,Cu,10.15665,8.69102,10.15665,1.04044,1439.18,1383.24,0.0,0.0,0.655,0.629541,0.0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BAMNAH_clean,Cu,9.37681,8.81485,9.37681,1.01975,1176.47,1153.68,0.0,0.0,0.6152,0.603283,0.0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BAMNEL_clean,Cu,9.36802,8.84726,9.36456,1.01784,1160.69,1140.35,0.0,0.0,0.627,0.616013,0.0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BARZAW_clean,Zn,7.73837,2.55685,7.73837,1.4812,0.0,0.0,474.604,320.418,0.3868,0.26114,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BARZOK_clean,Cu,7.65896,2.7399,7.6464,1.45609,0.0,0.0,478.144,328.376,0.3942,0.270726,0.0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BARZUR_clean,Zn,5.4946,5.30289,5.4946,0.925783,1729.65,1868.31,0.0,0.0,0.6062,0.654797,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAWROI_clean,Zn,13.54985,9.13066,13.54893,0.629882,1979.75,3143.05,0.0,0.0,0.7794,1.23737,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAXFIR01_clean,Fe,4.08461,3.48945,4.06863,1.30493,544.936,417.597,0.0,0.0,0.4766,0.36523,0.0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAXFIR02_clean,Fe,4.03285,3.42273,4.0125,1.31623,519.268,394.513,0.0,0.0,0.474,0.360121,0.0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAXFUD_clean,Fe,4.14435,3.36776,4.138,1.24657,540.704,433.752,0.0,0.0,0.5082,0.407677,0.0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAXGAK_clean,Fe,4.01414,3.50024,4.01414,1.30644,545.181,417.302,0.0,0.0,0.4712,0.360674,0.0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAZFUF01_clean,Cu,20.14565,8.54605,20.14565,0.342062,1831.33,5353.8,0.0,0.0,0.863,2.52293,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAZFUF_clean,Cu,20.24597,8.58384,20.24597,0.340053,1825.41,5368.02,0.0,0.0,0.8648,2.54313,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAZGAM_clean,Cu,42.79818,24.24061,42.79818,0.126526,810.47,6405.57,0.0,0.0,0.9392,7.42299,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BAZGEQ_clean,Cu,27.24034,13.9632,26.75245,0.334895,1602.49,4785.05,0.0,0.0,0.8624,2.57514,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEFGEA_manual,In,9.2615,6.75088,8.75247,0.652591,2421.36,3710.38,0.0,0.0,0.722,1.10636,0.0,In,No, ,manual,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEJZAS_clean,Zn,4.75514,3.65279,4.718,1.35569,1756.76,1295.84,0.0,0.0,0.628,0.463233,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BELJIL_clean,Cu,7.21036,5.21436,7.21036,1.28754,867.89,674.07,0.0,0.0,0.459,0.356494,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BENXOJ_clean,Zn,4.11404,3.48041,4.11404,1.44846,625.46,431.811,4.00973,2.76828,0.4884,0.337187,0.0,Zn,Yes,Zn,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BENXUP_clean,Zn,4.10218,3.42336,4.09595,1.4733,653.043,443.252,0.0,0.0,0.4814,0.32675,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPLUF_clean,Zn,10.54661,10.45745,10.54661,0.882268,1351.9,1532.3,0.0,0.0,0.655,0.742405,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPMAM_clean,Zn,10.35764,10.23297,10.35764,0.893987,1370.16,1532.64,0.0,0.0,0.63,0.704708,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPMEQ_clean,Zn,10.23749,10.11334,10.23749,1.01266,1131.28,1117.13,0.0,0.0,0.6084,0.600792,0.0,Zn,No, ,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BEPMIU_clean,Zn,10.07029,9.95473,10.07029,1.02149,1143.41,1119.35,0.0,0.0,0.6036,0.590899,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPNER_clean,Zn,3.72227,2.61847,3.71687,1.16642,0.0,0.0,113.545,97.3442,0.4598,0.394197,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPNIV_clean,Zn,10.32219,10.19883,10.32219,0.893387,1335.35,1494.71,0.0,0.0,0.6494,0.726897,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPNOB_clean,Zn,10.36311,10.23127,10.36311,0.890303,1334.01,1498.37,0.0,0.0,0.6478,0.727618,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPNUH_clean,Zn,10.32563,10.2098,10.32563,1.16569,1103.61,946.742,0.0,0.0,0.6056,0.519521,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPPAP_clean,Zn,9.9082,9.78954,9.90791,1.03173,1157.48,1121.89,0.0,0.0,0.5902,0.57205,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPPIX_clean,Zn,9.77409,9.63706,9.77409,0.990438,1290.67,1303.13,0.0,0.0,0.592,0.597716,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPPOD_clean,Zn,10.03622,9.89092,10.03622,0.960732,1283.35,1335.81,0.0,0.0,0.613,0.638055,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPVAV_clean,Cu,4.46396,3.25406,4.36439,1.36696,0.0,0.0,548.755,401.44,0.503,0.367969,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPVEZ_clean,Cu,5.76875,4.44638,5.76422,1.26954,947.431,746.277,0.0,0.0,0.5084,0.400459,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPVID_clean,Cu,5.29029,4.21546,5.29029,1.30564,829.286,635.159,0.0,0.0,0.5122,0.392299,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPVOJ01_clean,Cu,5.12362,3.97858,5.12362,1.3287,794.481,597.937,0.0,0.0,0.5126,0.38579,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPVOJ_clean,Cu,4.87498,3.77095,4.87498,1.35072,712.934,527.818,0.0,0.0,0.5034,0.37269,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEPYIG_clean,Cu,7.58549,7.19298,7.58549,1.44287,833.919,577.959,0.0,0.0,0.4508,0.312433,0.0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BERFIP_clean,Zn,4.07847,2.71437,4.07847,1.95363,0.0,0.0,172.127,88.1061,0.3926,0.200959,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BERGAI01_clean,Zn,5.26349,2.6344,5.24079,1.50824,0.0,0.0,554.929,367.932,0.4828,0.320109,0.0,Zn,Yes,Zn,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BERGAI_clean,Zn,5.28761,2.67572,5.28761,1.49712,0.0,0.0,557.137,372.14,0.4878,0.325826,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEXQIF_clean,Fe,8.04962,5.28644,8.01765,0.683962,2466.36,3605.99,0.0,0.0,0.7172,1.0486,0.0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEXSII_clean,Cu,6.27069,4.79422,6.26455,0.943025,2150.91,2280.86,0.0,0.0,0.668,0.708359,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BEXVEH_clean,Cu,9.97626,6.15688,9.95158,0.782835,2372.61,3030.79,0.0,0.0,0.7306,0.933274,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BIBBUL_clean,Zn,3.85878,3.31702,3.85878,1.32039,159.648,120.909,0.0,0.0,0.4268,0.323237,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BIDPAH_clean,In,11.98539,10.18096,11.98535,0.581652,2419.86,4160.33,0.0,0.0,0.7696,1.32313,0.0,In,No, ,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
BIDPOV_clean,Cu,11.29156,6.79888,11.29156,0.619303,2469.5,3987.54,0.0,0.0,0.7532,1.21621,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BIFKEI_clean,Cu,5.92703,4.3432,5.92703,1.02128,2025.04,1982.84,0.0,0.0,0.6088,0.596113,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BIMDEF_clean,Cu,4.67684,3.43732,4.67684,1.38964,1289.29,927.79,0.0,0.0,0.5428,0.390606,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BIMDIL_clean,Cu,5.20728,3.51213,5.20728,1.39622,1478.14,1058.67,0.0,0.0,0.539,0.386042,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
BIMDOR_charged,Zn,9.55327,8.36638,9.55327,1.61567,1049.28,649.439,0.0,0.0,0.5078,0.314297,0.0,Zn,Yes,Zn,charged,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
