cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank,initial_screening_rank,second_model_name,second_model_q,second_global_rank
ITONAI_clean,Zr,Unmodified,0,79.0,15.189012658227849,5.09225,0.299983,0.5116,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,197.51823141260894,3,1,2,KNN,51.137765297224604,13
ZONBAH_clean,Zr,Unmodified,0,79.0,12.45832911392405,3.78181,0.246052,0.4288,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,196.75565523566883,5,2,4,KNN,51.13230409357055,14
LAJDUV_charged,Ti,Unmodified,0,79.0,13.263645569620254,2.77965,0.261957,0.4198,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,8,2,2,KNN,51.12465534059436,15
LAJDUV03_charged,Ti,Unmodified,0,79.0,13.076202531645569,2.79651,0.258255,0.412,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,8,2,4,KNN,51.12340722101873,16
LAJDUV01_charged,Ti,Unmodified,0,79.0,13.040506329113924,2.79185,0.25755,0.4118,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,8,2,5,KNN,51.12318893057038,17
LAJDUV02_charged,Ti,Unmodified,0,79.0,12.979240506329116,2.78649,0.25634,0.4106,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,8,2,3,KNN,51.12280938614317,18
NUYNAY_clean,Ti,Unmodified,0,79.0,19.901164556962026,6.39583,0.393048,0.5078,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,190.68133306746947,14,3,6,KNN,51.11169711988166,19
EWILIH_clean,Zr,Unmodified,0,79.0,18.439291139240506,7.31597,0.364176,0.5324,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,191.2274241705668,12,4,7,KNN,51.11079637350828,20
EWILON_clean,Zr,Unmodified,0,79.0,18.222227848101266,7.32231,0.359889,0.5252,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,191.2274241705668,12,4,6,KNN,51.1105857652099,21
GEDSIT_clean,Nd,Unmodified,0,79.0,16.03635443037975,4.6219,0.316718,0.4614,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,196.56852913020694,7,1,1,KNN,51.08724630780996,22
YEBKOG_clean,Nd,Unmodified,0,79.0,13.915544303797468,4.5315,0.274832,0.5136,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,10,KNN,51.08621331538941,23
GEDRIS_clean,Nd,Unmodified,0,79.0,14.8526582278481,5.02719,0.29334,0.4398,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,196.56852913020694,7,1,2,KNN,51.086150298317314,24
DOJXUW_clean,Nd,Unmodified,0,79.0,13.35660759493671,4.83603,0.263793,0.4402,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,5,KNN,51.08550545466489,25
GUJGEY_clean,Nd,Unmodified,0,79.0,13.046683544303798,4.66121,0.257672,0.438,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,8,KNN,51.08549370654896,26
magnetochemistry3010001_PF362NdCl_clean,Nd,Unmodified,0,79.0,12.361164556962024,4.20828,0.244133,0.445,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,7,KNN,51.08543997380867,27
IYAHAT_clean,Nd,Unmodified,0,79.0,12.975392405063293,4.67222,0.256264,0.4528,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,6,KNN,51.085432604403536,28
UKUDEL_clean,Zr,Unmodified,0,79.0,24.993772151898735,10.93489,0.493627,0.596,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,190.84256024224536,13,5,8,KNN,51.083346436337976,29
FAPYEA04_clean,Cu,Unmodified,0,79.0,9.745620253164557,2.47016,0.192476,0.3048,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,192.91605488119973,11,1,1,KNN,48.514219160395626,30
BIBBUL_clean,Zn,Unmodified,0,120.909,10.693562927490923,3.85878,0.323237,0.4268,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,204.21139654503946,1,1,1,KNN,46.55324648820224,31
FEPQEW_clean,Ti,Unmodified,0,79.0,12.362379746835444,4.04938,0.244157,0.4636,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.7860204113384,4,1,1,KNN,40.11846979854898,32
QAJJOB_clean,In,Unmodified,0,79.0,10.18718987341772,5.4172,0.201197,0.5096,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.37409503161672,21,3,9,KNN,33.86008092780284,33
FESBEM_clean,Zn,Unmodified,0,79.0,15.310481012658228,5.39035,0.302382,0.452,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,4,KNN,33.85992433073602,34
AGAYOW_clean,Cu,Unmodified,0,79.0,15.100911392405063,5.75249,0.298243,0.5038,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,7,KNN,33.85902967118459,35
NANNAU_clean,Zn,Unmodified,0,79.0,16.020708860759495,4.84074,0.316409,0.4114,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,8,KNN,33.857795684349256,36
IPIDAN_charged,Cu,Unmodified,0,79.0,16.029772151898733,5.29886,0.316588,0.4578,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,5,KNN,33.85728112319833,37
MUHPOV_clean,In,Unmodified,0,79.0,11.669772151898734,4.89496,0.230478,0.4862,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,5,KNN,33.85491371604129,38
HUZKUJ_clean,In,Unmodified,0,79.0,10.70967088607595,4.64239,0.211516,0.4698,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,7,KNN,33.85449315728035,39
HIBQUE_clean,In,Unmodified,0,79.0,10.082430379746835,4.31416,0.199128,0.449,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.37409503161672,21,3,8,KNN,33.85380025041759,40
LABGAY_clean,Zn,Unmodified,0,79.0,14.912506329113924,4.46512,0.294522,0.4312,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,6,KNN,33.853771213445924,41
MEXDAU01_clean,Zn,Unmodified,0,79.0,14.390582278481013,4.5761,0.284214,0.534,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,9,KNN,33.853740944023166,42
j.inoche.2015.05.017_inc05998-mmc2_clean,Cu,Unmodified,0,79.0,15.159898734177215,4.9133,0.299408,0.4356,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,4,KNN,33.85294281591289,43
XOSPEB_clean,In,Unmodified,0,79.0,11.52253164556962,4.51127,0.22757,0.5006,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,4,KNN,33.85263262141114,44
ISAYOQ_charged,Cu,Unmodified,0,79.0,15.54754430379747,4.756,0.307064,0.4678,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,3,KNN,33.85257225965207,45
ELIYUU_clean,Zn,Unmodified,0,79.0,14.71179746835443,4.2995,0.290558,0.5014,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,5,KNN,33.852567504347036,46
KINNUS_charged,Cu,Unmodified,0,79.0,14.827696202531648,4.90604,0.292847,0.3992,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,8,KNN,33.85235363822109,47
TANNUT_clean,Zn,Unmodified,0,79.0,15.34106329113924,3.94901,0.302986,0.4472,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,3,KNN,33.85188643210353,48
VAJTUX_clean,Cu,Unmodified,0,79.0,15.972253164556962,4.46543,0.315452,0.458,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,2,KNN,33.8516448244707,49
WELTUD_charged,Cu,Unmodified,0,79.0,15.23493670886076,4.57967,0.30089,0.4676,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,10,KNN,33.8507489578439,50
IYUHEQ_clean,In,Unmodified,0,79.0,11.035493670886076,4.01864,0.217951,0.3728,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,3,KNN,33.850548088591005,51
HIQPII_clean,Zn,Unmodified,0,79.0,14.207797468354432,3.86804,0.280604,0.4132,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,10,KNN,33.84975366717883,52
NOQLOV_charged,In,Unmodified,0,79.0,10.521620253164556,3.28229,0.207802,0.4154,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.37409503161672,21,3,10,KNN,33.848662460458506,53
DIXNUV_clean,Cu,Unmodified,0,79.0,15.738481012658227,4.05204,0.310835,0.4868,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,6,KNN,33.848643650540154,54
c5cc06190c_c5cc06190c2_clean,Zn,Unmodified,0,79.0,14.415139240506328,3.47605,0.284699,0.4728,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,10,3,7,KNN,33.848443701272586,55
PEKKAS_clean,In,Unmodified,0,79.0,14.831037974683541,3.45164,0.292913,0.526,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,154.57798799584435,19,1,1,KNN,33.8482952281422,56
NOQLOV01_charged,In,Unmodified,0,79.0,10.917164556962026,3.28042,0.215614,0.4262,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,2,KNN,33.847864043210194,57
XAXQEU_SL,In,Unmodified,0,79.0,13.261215189873417,3.6354,0.261909,0.4522,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,6,KNN,33.84729442060291,58
LUKRUE_clean_h,Cu,Unmodified,0,79.0,15.150278481012656,3.99432,0.299218,0.4088,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,9,KNN,33.8469214037339,59
NAVCAO_clean,Fe,Unmodified,0,79.0,11.791189873417721,5.32066,0.232876,0.45,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,142.48850836270847,25,3,9,KNN,33.84584899546217,60
UHOHIK_clean,Fe,Unmodified,0,79.0,15.944,4.87283,0.314894,0.4658,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,4,KNN,33.845311730572305,61
LIXWEV_clean,Fe,Unmodified,0,79.0,13.996101265822785,5.08233,0.276423,0.498,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,142.48850836270847,25,3,10,KNN,33.843169141586266,62
HOHJAR_clean,Fe,Unmodified,0,79.0,15.525316455696203,4.71677,0.306625,0.429,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,1,KNN,33.842516535641785,63
WOBMIL01_clean,Fe,Unmodified,0,79.0,10.927291139240506,4.60929,0.215814,0.3484,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,142.48850836270847,25,3,8,KNN,33.83963801058407,64
GOSRIP_clean,Fe,Unmodified,0,79.0,14.33478481012658,4.372,0.283112,0.5122,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,143.2510845396486,24,2,6,KNN,33.83598053078981,65
SIYXIH10_clean,Fe,Unmodified,0,79.0,15.434835443037976,3.56925,0.304838,0.473,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,3,KNN,33.83244083016947,66
SIYXIH_clean,Fe,Unmodified,0,79.0,15.268759493670887,3.59608,0.301558,0.4722,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,2,KNN,33.831972646260674,67
ITETEH_clean,Fe,Unmodified,0,79.0,15.041974683544304,3.58044,0.297079,0.4642,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,5,KNN,33.83104185683161,68
FUFREE_clean,Fe,Unmodified,0,79.0,14.287594936708862,3.74304,0.28218,0.4258,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,143.2510845396486,24,2,7,KNN,33.830034120230614,69
FIHHOV_clean,Zn,Unmodified,0,132.245,10.615630080532345,6.48503,0.350966,0.475,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,202.7974281953062,2,2,2,KNN,2.7121423876227757,70
