cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank
AJOXAA_clean,Nd,Unmodified,0,902.948,1.5840867912659422,6.60857,0.357587,0.5468,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.44152920670323,2432,80
SADLOA_clean,Nd,Unmodified,0,974.294,1.485617277741626,7.06477,0.361857,0.5582,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.44152920670323,2433,80
RATCUL02_clean,Fe,Unmodified,0,456.929,2.2629773991145234,4.70959,0.258505,0.4494,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,62.43429305668159,2434,61
UZIZOU_clean,Nd,Unmodified,0,1066.87,1.4478764985424657,6.4384,0.386174,0.5338,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.42337930398643,2435,81
EVUPOC_clean,Nd,Unmodified,0,1061.29,1.4676780144917976,6.33794,0.389408,0.5584,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.42337930398643,2436,81
PUVHAR_clean,Zn,Unmodified,0,303.153,1.6470627043110242,5.50897,0.124828,0.452,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.41934577542197,2437,428
LADHEF_clean,Zn,Unmodified,0,1462.98,1.4653460744507785,6.83841,0.535943,0.622,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2438,429
IRELAU_clean,Zn,Unmodified,0,1470.68,1.4086436206380724,6.04901,0.517916,0.5904,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2439,429
YORCEP_clean,Zn,Unmodified,0,1481.32,1.5252423514163043,9.40185,0.564843,0.585,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2440,429
JIVFUQ_clean,Zn,Unmodified,0,1515.89,1.4553298722202797,6.2294,0.55153,0.6318,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2441,429
VUKYUX_clean,Zn,Unmodified,0,1520.35,1.4680224948202716,9.90621,0.557977,0.648,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2442,429
QUNWAZ_clean,Zn,Unmodified,0,1464.24,1.5035349396273836,6.68191,0.550384,0.5434,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2443,429
DEJJIN_clean,Zn,Unmodified,0,1496.61,1.4597096103861393,9.02838,0.546154,0.6316,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2444,429
