cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file
acs.inorgchem.6b00433_ic6b00433_si_002_clean,Cu,Unmodified,0,1066.62,1.719536479720988,5.96211,0.458523,0.5062,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
acs.inorgchem.6b00894_ic6b00894_si_002_clean,Zn,Unmodified,0,1099.29,1.7330786234751523,6.64699,0.476289,0.5272,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acs.inorgchem.6b02514_ic6b02514_si_002_clean,Cu,Unmodified,0,1105.59,1.606671550936604,6.09101,0.44408,0.6002,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
acs.inorgchem.6b02696_ic6b02696_si_002_clean,Zn,Unmodified,0,2402.71,1.2600605150018105,12.13124,0.75689,0.6878,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acs.jchemed.6b00258_ed6b00258_si_005_clean,Cu,Unmodified,0,304.239,4.013344771709084,4.54949,0.305254,0.4476,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ACUBAB_clean,Zn,Unmodified,0,536.484,1.695588312046585,6.48174,0.227414,0.5252,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ACUFEK_clean,Cu,Unmodified,0,3941.72,1.4275899860974397,15.55627,1.40679,0.787,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADABAK01_clean,Cu,Unmodified,0,79.0,13.20167088607595,3.98757,0.260733,0.4192,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADABAK_clean,Cu,Unmodified,0,129.469,7.593416184569279,3.92374,0.245778,0.403,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADABIS_clean,Cu,Unmodified,0,79.0,12.264759493670887,3.98906,0.242229,0.4004,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADABUE_clean,Cu,Unmodified,0,299.509,4.288018056218678,4.54949,0.321075,0.4708,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADASAB_charged,Cu,Unmodified,0,4829.51,2.1036999612797156,22.82402,2.53996,0.8736,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADASEF_clean,Cu,Unmodified,0,4179.02,1.8593641571468906,21.62414,1.94258,0.8462,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADASIJ_clean,Cu,Unmodified,0,3491.36,1.3928440493102974,18.23438,1.21573,0.765,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADASOP_clean,Zn,Unmodified,0,3519.51,1.4117419754454452,18.07263,1.24216,0.7846,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ADATAC_clean,Zn,Unmodified,0,5129.28,2.013927880716202,26.33515,2.5825,0.871,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ADATEG_manual,Cu,Unmodified,0,6170.7,2.432437162720599,27.33782,3.75246,0.896,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADATIK_clean,Cu,Unmodified,0,4535.57,2.047037086849062,24.55082,2.32112,0.8764,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADINCU_clean,Cu,Unmodified,0,79.0,20.694835443037974,4.24935,0.408723,0.4736,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADODAA_charged,Cu,Unmodified,0,1977.46,1.335076310013856,10.017,0.660015,0.6856,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADOGEH_clean,Cu,Unmodified,0,1958.14,1.3559459487064254,12.71447,0.663783,0.677,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ADUROI_clean,Zn,Unmodified,0,3194.1,2.6000062615447233,25.68553,2.07617,0.8358,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ADUWIH_clean,Zn,Unmodified,0,2844.14,1.3824003037825143,9.28386,0.982935,0.7098,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AFADAN_clean,Fe,Unmodified,0,79.0,23.416759493670884,4.18795,0.462481,0.5186,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv
AFEJOK_ion_b,Cu,Unmodified,0,1489.79,1.4159848032273006,5.99825,0.52738,0.5808,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AFITEP_clean,Zn,Unmodified,0,1422.49,1.3837847717734395,4.64022,0.492105,0.5262,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AFITIT_clean,Zn,Unmodified,0,1359.07,1.6237986270022886,7.3533,0.551714,0.561,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AFITUF_clean,Zn,Unmodified,0,1051.86,1.529907021847014,7.14066,0.402312,0.5322,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AFOQUI_clean,Zn,Unmodified,0,79.0,14.962734177215191,4.25157,0.295514,0.479,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AFOVOH_clean,Nd,Unmodified,0,1587.32,1.4973212710732557,8.78847,0.594182,0.6228,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
AFOYAW_clean,Cu,Unmodified,0,1850.89,1.3504227695865232,5.94533,0.624871,0.6112,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AFOYIE_clean,Cu,Unmodified,0,2697.6,1.3818164294187425,9.08566,0.931897,0.71,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AFOYOK_clean,Cu,Unmodified,0,1668.18,1.4395041302497333,7.73482,0.600338,0.588,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AGESIP_clean,Cu,Unmodified,0,79.0,9.037316455696203,3.70848,0.178487,0.4034,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AGIREP_clean,Zn,Unmodified,0,2253.69,1.2259467806131277,10.92956,0.690726,0.6896,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AGOFEJ_clean,Cu,Unmodified,0,3357.77,1.5654318193324734,12.6138,1.31409,0.767,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AGOVID_charged,In,Unmodified,0,3333.82,1.4266277123539963,12.47057,1.18903,0.7636,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
AGOVOJ_clean,In,Unmodified,0,3431.85,1.4610195667060042,13.91201,1.2535,0.7722,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
AGOVUP_clean,In,Unmodified,0,1874.82,1.6571105492793976,13.7317,0.776696,0.696,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
AGOWAW_charged,In,Unmodified,0,2692.34,1.4512401851177785,13.59534,0.976808,0.7288,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
AGOWEA_charged,In,Unmodified,0,1003.21,2.088133092772201,8.31452,0.523709,0.6234,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
AGUTUS_clean,Cu,Unmodified,0,79.0,18.327898734177214,3.68088,0.361976,0.493,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AGUVOO_charged,Cu,Unmodified,0,1302.94,1.5342686539671817,6.0722,0.499765,0.582,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AHAMAY_clean,Zn,Unmodified,0,222.279,3.207284538800337,4.44036,0.178228,0.401,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AHAPUV_clean,Zn,Unmodified,0,1720.25,1.4944013951460544,6.64772,0.642686,0.611,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AHEBAS_clean,Cu,Unmodified,0,79.0,20.212050632911392,5.90829,0.399188,0.5054,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AHINIP_clean,Zn,Unmodified,0,79.0,18.465113924050634,5.10577,0.364686,0.4582,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AHOKAJ_clean,Fe,Unmodified,0,79.0,10.13392405063291,3.61285,0.200145,0.418,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv
AHOKIR01_clean,Cu,Unmodified,0,463.167,2.181666655871424,4.30721,0.252619,0.4868,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AHOKIR_clean,Cu,Unmodified,0,499.294,2.0789514794890387,4.49939,0.259502,0.4884,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AHOKOX_clean,Cu,Unmodified,0,781.89,1.5044571487037819,4.49188,0.29408,0.5116,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AJIMEN_clean,Zn,Unmodified,0,830.717,1.7917533889399158,5.01182,0.37211,0.5312,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AJINOY_clean,Cu,Unmodified,0,79.0,13.09807594936709,3.72125,0.258687,0.3726,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AJOQEW_clean,Zn,Unmodified,0,1353.93,1.445906361481022,12.44175,0.489414,0.6688,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AJOQOG_clean,Zn,Unmodified,0,1308.94,1.4409522208810182,12.29122,0.47153,0.6496,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AJOQUM_clean,Zn,Unmodified,0,1972.39,1.3973788145346508,13.33719,0.689044,0.7418,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AJORAT_clean,Zn,Unmodified,0,1793.93,1.2943091424971986,7.84676,0.580475,0.6224,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AJOXAA_clean,Nd,Unmodified,0,902.948,1.5840867912659422,6.60857,0.357587,0.5468,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
AKAYIV_clean,Cu,Unmodified,0,1019.53,1.9207124851647328,9.50139,0.489556,0.5596,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AKEDIF_clean,Zn,Unmodified,0,1808.02,1.3926284001283171,5.94406,0.629475,0.5828,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ALAMUW_clean,Cu,Unmodified,0,3766.22,1.2434961313996526,11.92678,1.17082,0.761,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ALANAD_clean,Zn,Unmodified,0,4035.37,1.0721396055380301,8.58065,1.08162,0.7542,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ALEJAE_clean,In,Unmodified,0,5195.22,2.5065194544215643,19.86541,3.25548,0.8942,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
ALEJEI_clean,Cu,Unmodified,0,3701.13,1.4085427963892108,18.06508,1.3033,0.783,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ALEJIM_clean,Zn,Unmodified,0,3730.3,1.4180843363804518,18.20917,1.32247,0.783,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ALICEE_clean,Cu,Unmodified,0,732.874,1.9099708817613938,8.89229,0.349942,0.594,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ALICII_clean,Cu,Unmodified,0,915.616,1.823362632369902,9.46461,0.417375,0.6294,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ALIXAU_clean_h,Cu,Unmodified,0,467.985,2.819628834257508,6.17139,0.329886,0.4726,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ALIXUP_clean,Cu,Unmodified,0,1021.37,1.6067203853647551,6.38387,0.410264,0.5492,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ALOLET_charged,In,Unmodified,0,1879.08,1.5225152734316794,9.3993,0.715232,0.6446,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
ALOLOD_charged,In,Unmodified,0,2004.72,1.407558162735943,7.87306,0.70544,0.6338,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
ALUJOH_clean,Nd,Unmodified,0,958.46,1.6293762911336935,6.14197,0.390423,0.5526,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
AMAFOK_clean,Cu,Unmodified,0,583.026,2.0189425514471053,6.60314,0.294274,0.4392,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AMAFUQ_clean,Cu,Unmodified,0,622.056,1.9095065396041515,6.75078,0.296955,0.4398,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AMAGAX_clean,Cu,Unmodified,0,658.174,1.9150741293335805,6.93247,0.315113,0.4598,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AMALND_clean,Nd,Unmodified,0,79.0,13.457772151898734,3.73865,0.265791,0.4986,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
AMILOY_clean,Zn,Unmodified,0,1249.73,1.9214390308306593,11.03089,0.60032,0.6048,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AMILUE_clean,Zn,Unmodified,0,1276.27,1.9537997445681556,11.39418,0.623394,0.6124,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AMIMAL_clean,Zn,Unmodified,0,1283.28,1.9327535689794901,11.07211,0.620066,0.6132,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AMIMEP_clean,Zn,Unmodified,0,1278.57,1.9120361028336346,11.21563,0.611168,0.6026,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AMOYOR_clean,Zn,Unmodified,0,648.979,2.4217362965519684,4.82905,0.392914,0.4596,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AMUPOP_clean,Zn,Unmodified,0,418.038,3.2947052660284473,4.74814,0.344328,0.4486,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AMUWUB_clean,Cu,Unmodified,0,1565.42,1.8163125550970345,10.40349,0.710823,0.6498,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AMUXAI_clean,Cu,Unmodified,0,1368.83,1.7012543559097917,8.64297,0.582182,0.5964,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ANAWIX_clean,In,Unmodified,0,972.705,1.5144118720475375,5.45667,0.368269,0.5628,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
ANAWOD_clean,In,Unmodified,0,1086.17,1.5168343813583507,6.92762,0.411885,0.5924,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
ANEHEI_clean,Zn,Unmodified,0,1062.12,1.6656272360938502,6.80985,0.442274,0.5484,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ANOMUM_clean,Cu,Unmodified,0,2990.19,1.1154394871228919,7.28969,0.833844,0.6952,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ANONAT_manual,Cu,Unmodified,0,2885.95,1.1990644328557323,7.80429,0.86511,0.6928,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ANUGEW_clean,Cu,Unmodified,0,4708.57,1.594938590697388,14.4419,1.87747,0.8326,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ANUGIA_clean,Cu,Unmodified,0,4060.62,1.3784692977919628,13.85309,1.39936,0.7948,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ANUGOG_clean,Cu,Unmodified,0,4228.07,1.277982625642433,11.39005,1.35085,0.7898,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ANUGUM_clean,Zn,Unmodified,0,3627.17,1.1971867874954853,8.23346,1.0856,0.7386,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
APACAX_clean,Zn,Unmodified,0,1763.34,1.4106842696246893,5.65344,0.621879,0.6264,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
APEBED_clean,Zn,Unmodified,0,291.224,4.01431200725215,4.58202,0.292266,0.4828,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
APUPEH_clean,Cu,Unmodified,0,5147.71,2.312267008048239,24.7893,2.97572,0.8874,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AQAJEI_clean,Zn,Unmodified,0,79.0,25.114582278481013,6.90366,0.496013,0.5492,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AQEQIW_clean,Zn,Unmodified,0,1567.33,1.438180855339973,6.30636,0.563526,0.6202,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
AQMAND01_clean,Nd,Unmodified,0,79.0,11.296506329113924,3.38568,0.223106,0.4646,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
AQMAND_clean,Nd,Unmodified,0,79.0,11.15387341772152,3.37168,0.220289,0.4536,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
AQOSEG_clean,Cu,Unmodified,0,1375.03,1.7501407242023812,9.45829,0.601624,0.6096,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AQUCOF_clean,Cu,Unmodified,0,1876.59,1.3956740683900055,9.38154,0.654777,0.6824,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
AQUDAS_clean,Cu,Unmodified,0,1887.52,1.376394422310757,9.38408,0.649493,0.6752,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
